PitchNo,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,HomeTeamForeignID,AwayTeamForeignID
159,2,2,"Rock, Joe",697812,Left,TB,"Quero, Edgar",700337,Right,CWS,5,Bottom,0,1,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,93.68386649,-3.465829519,4.260036149,2310.564092,126.5841256,10:15,5.885915213,-2.121057502,6.978950683,-24.44668043,6.939883052,-18.5311071,0.693431704,0.216030772,85.88108324,-8.047972666,0.748670505,0.403221235,,,,,,,,,,,,11.35896571,4.840221865,1.867581101,50.00367784,5.661096031,-9.544350019,-135.8651171,-9.008026363,21.22514649,29.9215992,-23.13382738,CWS,TB,Rate Field,Major League Baseball,AL,145,139
160,2,3,"Rock, Joe",697812,Left,TB,"Quero, Edgar",700337,Right,CWS,5,Bottom,0,2,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,94.02333668,-0.440142388,2.737744903,2246.265966,128.168271,10:15,5.900327943,-2.231209989,7.133101653,-25.74026602,5.350094988,-14.91981774,3.356619713,-0.98995836,85.58844974,-5.324637042,-0.100502439,0.401314077,,,,,,,,,,,,9.001839979,3.068865603,2.077032666,50.00145773,5.862792921,-6.075919426,-136.7824581,-1.85387632,16.95878856,31.77449778,-26.38743182,CWS,TB,Rate Field,Major League Baseball,AL,145,139
161,2,4,"Rock, Joe",697812,Left,TB,"Quero, Edgar",700337,Right,CWS,5,Bottom,0,3,0,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,93.80370853,-0.64570169,2.712966433,2139.458474,125.9275357,10:15,5.783061634,-2.198220992,7.124207035,-28.19676666,2.980302137,-14.06076375,2.848174395,-0.907516046,85.65407444,-5.985710231,0.040962223,0.401873299,,,,,,,,,,,,8.501206072,1.827303543,2.044809126,50.00375253,5.73223573,-6.02926758,-136.4788639,-2.417729785,15.98065974,31.04163165,-28.74011135,CWS,TB,Rate Field,Major League Baseball,AL,145,139
162,3,1,"Rock, Joe",697812,Left,TB,"Vargas, Miguel",678246,Right,CWS,5,Bottom,0,0,0,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,93.82661845,-2.009705978,4.408481382,2223.245616,132.9294343,10:30,5.869296381,-2.096946082,7.091071831,-26.24387329,4.993240586,-16.70550532,1.858273484,0.519624433,85.87211549,-6.952481208,1.244207019,0.402260104,,,,,,,,,,,,10.40094605,3.34290889,1.842227977,50.0063107,5.737624054,-9.980526912,-136.2085009,-5.60933182,19.5312091,30.15615431,-25.90197278,CWS,TB,Rate Field,Major League Baseball,AL,145,139
163,3,2,"Rock, Joe",697812,Left,TB,"Vargas, Miguel",678246,Right,CWS,5,Bottom,0,0,1,ChangeUp,FoulBall,Undefined,Undefined,Undefined,0,0,88.24919327,-0.323278631,3.309992271,2108.463772,120.3963697,10:00,5.888022949,-2.022853219,6.794963717,-32.43105351,2.867310689,-12.96070307,2.890567775,-0.07871246,80.53535893,-6.465812427,0.847316213,0.427610934,69.599726,-8.600388453,-51.25097304,7428.499764,,,,18.54699272,17.61880684,-45.6608139,0.2,8.084768284,1.668847188,1.814601085,50.00010459,5.852019257,-7.042330436,-128.323644,-1.67399817,13.41739789,27.73498563,-29.39835796,CWS,TB,Rate Field,Major League Baseball,AL,145,139
164,3,3,"Rock, Joe",697812,Left,TB,"Vargas, Miguel",678246,Right,CWS,5,Bottom,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,95.41867586,-1.684168857,5.376043334,2254.955856,131.0091239,10:15,5.832902557,-2.102034601,6.898163776,-18.56372054,11.65730006,-12.13624635,2.751748528,1.797649226,87.21092266,-5.177040156,3.086232291,0.395663579,,,,,,,,,,,,8.133312534,6.903229629,1.769072067,50.00391721,5.718082748,-12.6360449,-138.3630625,-4.672146984,15.79088823,30.50263002,-18.77512744,CWS,TB,Rate Field,Major League Baseball,AL,145,139
165,3,4,"Rock, Joe",697812,Left,TB,"Vargas, Miguel",678246,Right,CWS,5,Bottom,0,1,2,Slider,InPlay,Undefined,GroundBall,FieldersChoice,1,0,86.27230141,-0.71028749,2.777556895,2586.556878,284.9982637,3:30,5.697258651,-2.304490226,7.092333285,-36.87171796,-0.482859836,6.304347469,1.980599441,0.743177829,80.30859239,-7.609038956,3.963970854,0.434165915,76.44154121,5.020878231,-25.39359004,1383.282033,,,,73.75626093,73.70646245,-26.87760484,0.7,-2.76524178,-0.086384855,2.136296317,50.00077054,5.637977881,-6.277668242,-125.6257187,-2.628521316,-4.46747553,22.81348009,-32.30970072,CWS,TB,Rate Field,Major League Baseball,AL,145,139
166,4,1,"Rock, Joe",697812,Left,TB,"Benintendi, Andrew",643217,Left,CWS,5,Bottom,1,0,0,Sinker,FoulBall,Undefined,Undefined,Undefined,0,0,94.94814063,-1.581095545,3.066689955,2189.197525,129.0982875,10:15,5.968533841,-1.889046261,6.848448755,-24.96114813,5.397170859,-18.34305583,2.446748138,-0.618910682,87.02812076,-6.291225472,-0.411842426,0.396561338,73.26368712,38.18685234,-161.8117534,2500.146943,-105.2733237,54.08545695,-32.24911169,239.5093393,235.2059181,-162.9082854,3.7,10.90795145,3.411632501,1.702153171,50.00418137,5.856137594,-6.818383357,-138.0918103,-4.605472485,21.07902938,30.60209306,-25.58195945,CWS,TB,Rate Field,Major League Baseball,AL,145,139
167,4,2,"Rock, Joe",697812,Left,TB,"Benintendi, Andrew",643217,Left,CWS,5,Bottom,1,0,1,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,85.70096899,0.635769405,2.028836943,2471.102791,270.6190709,3:00,5.777125076,-2.104162485,7.145148834,-36.72924723,0.205575342,7.289775417,3.293309643,0.343087693,79.32546362,-6.274199566,3.404162562,0.437410818,,,,,,,,,,,,-3.47413853,-0.053010262,1.982070181,50.00246182,5.797543264,-4.632109911,-124.840668,0.329595947,-5.526527804,23.23930795,-32.25696749,CWS,TB,Rate Field,Major League Baseball,AL,145,139
168,4,3,"Rock, Joe",697812,Left,TB,"Benintendi, Andrew",643217,Left,CWS,5,Bottom,1,0,2,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,86.80637829,-1.151113707,3.092927398,2520.172342,283.4805226,3:30,5.652770402,-2.176223197,6.902823702,-37.84411919,-1.681338888,3.701428247,1.45091155,0.951772561,80.44234363,-8.240463195,3.791223123,0.432815114,,,,,,,,,,,,-1.214034515,-0.607608259,1.980356709,50.00415584,5.562887528,-6.932287319,-126.3057631,-3.639821134,-1.96974395,24.48261905,-33.16058908,CWS,TB,Rate Field,Major League Baseball,AL,145,139
